time,symbol,signal,fvg_zone,liquidity_grab,order_block
2025-09-19 21:28:12,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:17,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:22,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:27,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:32,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:37,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:42,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:47,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:52,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:28:57,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:02,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:07,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:12,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:17,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:22,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:27,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:32,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:37,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:42,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:47,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:52,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:29:57,GBPUSD,sell,"(np.float64(1.3469), np.float64(1.34693))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:30:02,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:30:03,GBPUSD,buy,1.34686,1.3467099999999999,1.34716
2025-09-19 21:30:08,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:30:13,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:30:18,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:30:23,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:30:28,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:30:33,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:30:38,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:30:43,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:30:48,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:30:53,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:30:58,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:03,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:08,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:13,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:18,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:31:18,GBPUSD,buy,1.34687,1.34672,1.34717
2025-09-19 21:31:23,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:31:28,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:33,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:38,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:43,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:48,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:53,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:31:58,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:03,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:08,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:13,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:18,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:32:19,GBPUSD,buy,1.3468499999999999,1.3466999999999998,1.3471499999999998
2025-09-19 21:32:24,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:32:29,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:34,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:39,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:32:44,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:49,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:54,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:32:59,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:33:04,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:33:09,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:33:14,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:33:19,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:33:24,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:33:24,GBPUSD,buy,1.34689,1.3467399999999998,1.3471899999999999
2025-09-19 21:33:29,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:33:34,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:33:39,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:33:44,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:33:49,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:33:54,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:00,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:05,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:10,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:15,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:20,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:25,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:26,GBPUSD,buy,1.34689,1.3467399999999998,1.3471899999999999
2025-09-19 21:34:31,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:36,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:41,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:46,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:51,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:34:56,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:35:01,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:35:06,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:35:11,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:35:16,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:35:21,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:35:26,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:35:26,GBPUSD,buy,1.3468499999999999,1.3466999999999998,1.3471499999999998
2025-09-19 21:35:31,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:35:36,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:35:41,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:35:46,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:35:51,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:35:57,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:02,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:07,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:12,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:17,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:22,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:27,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:27,GBPUSD,sell,1.34679,1.34694,1.34649
2025-09-19 21:36:32,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:37,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:42,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:47,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:52,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:36:57,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:02,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:07,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:12,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:17,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:22,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:27,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:32,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:37,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:42,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:47,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:52,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:37:57,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:02,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:08,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:13,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:18,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:19,GBPUSD,sell,1.3468,1.34695,1.3465
2025-09-19 21:38:24,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:29,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:34,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:39,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:44,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:49,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:54,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:38:59,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:04,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:09,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:14,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:19,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:24,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:29,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:34,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:39,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:44,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:50,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:39:55,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:00,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:05,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:10,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:15,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:20,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:25,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:30,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:35,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:40,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:45,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:50,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:40:55,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
